event_id,event_name,event_type,latitude,longitude,event_date,expected_attendance
EV001,ASB Classic Tennis Auckland,sports,-36.84252087902888,174.76177756879505,2024-03-31,18000
EV002,Auckland Marathon,sports,-36.840828041601775,174.76694736058118,2024-04-21,15000
EV003,Homegrown Festival Wellington,concert,-41.29411645304225,174.78551244703274,2024-04-07,20000
EV004,Wellington Sevens,sports,-41.28077720596019,174.78172128610555,2024-05-12,35000
EV005,Hamilton Garden Arts Festival,festival,-37.79443772734649,175.27800771875792,2024-04-14,12000
EV006,NRL Warriors Home Game AKL,sports,-36.90258403951535,174.73853529977697,2024-04-28,25000
EV007,Tauranga Summer Festival,festival,-37.68512269759839,176.1714552322654,2024-05-05,8000
EV008,Christchurch Food & Wine Fest,festival,-43.53313171602345,172.6305447744357,2024-05-19,10000
EV009,Queenstown Winter Festival,festival,-45.029908304259685,168.6542763451221,2024-05-26,45000
EV010,Dunedin Highlanders Rugby,sports,-45.872447376560146,170.50563328798242,2024-06-02,20000
EV011,ASB Bank NZ Open Golf,sports,-36.774838245198296,174.75209051936258,2024-06-09,22000
EV012,Napier Art Deco Festival,festival,-39.483586039512105,176.91986242242646,2024-03-24,50000
EV013,Rotorua Marathon,sports,-38.13143233005852,176.24389277415705,2024-06-16,9000
EV014,Palmerston North Rugby,sports,-40.35266557992546,175.59887607531576,2024-06-23,11000
EV015,Nelson Jazz Festival,concert,-41.27791421015865,173.28766097906484,2024-06-30,7000
